SampleID	richness	chao1	ACE	shannon	simpson	invsimpson
B2D27	232	332.037037037037	324.872600282693	2.20241062632807	0.8050645232	5.12990255245319
B2D3	156	249	246.416446222576	1.55235723990041	0.5987993992	2.4925187001365
B2D37	252	316.565217391304	296.247487300294	3.17383565559338	0.9112885512	11.2725021801245
B2D44	138	244.105263157895	242.427097959721	1.20949548681451	0.4724427912	1.89552902191335
B2D6	251	429	363.382929693	2.28622996350273	0.8005295048	5.01327275995052
B2D9	285	374.063829787234	390.772395652133	1.96692184962903	0.7152170472	3.51144613878026
B4D12	153	221.076923076923	231.250357909051	1.51403332679146	0.6180008744	2.61780703929444
B4D18	138	244.4	220.760789440524	1.47722383488571	0.6775061288	3.10083412214626
B4D21	167	264.65	257.473966789789	1.72859712809323	0.6713087384	3.04236868096891
B4D24	224	286.217391304348	277.867550298534	2.53926295490714	0.8073459616	5.19065163806086
B4D3	188	303.161290322581	321.893258555725	1.74459149939586	0.7314382848	3.72353892383839
B4D30	379	484.45652173913	461.035801994063	2.16448953336694	0.7337999984	3.75657398192893
B4D37	438	546.358208955224	551.355456668255	2.33212291766452	0.7825491528	4.59874041824382
B4D44	314	405.122448979592	423.026189334657	2.45695438348101	0.8415183216	6.30987764703027
B4D6	148	313	264.211554900516	1.19326302813724	0.4839891224	1.93794364307021
B4D9	137	215.4	195.283217718121	1.38449444049985	0.590019708	2.43914163561794
B5D12	195	306.222222222222	307.323313212232	1.44148772941065	0.619897048	2.63086617648789
B5D18	252	374.375	369.588343308224	2.03767037761801	0.6479378184	2.84040732649939
B5D24	261	491.322580645161	473.379580590603	1.79464393275404	0.6007039208	2.50440726090656
B5D3	405	480.782608695652	472.5138405288	2.33577605498748	0.7440169632	3.90650885504301
B5D30	241	326.075	348.674829866559	2.18952781927024	0.7668293552	4.28870452735481
B5D6	170	341.166666666667	331.567605459072	0.720789007693074	0.2373400032	1.31120027823124
B5D9	207	371.538461538462	379.001052011801	0.990303351795408	0.350482856	1.53960524250612
B6D12	116	174.571428571429	172.084577141544	1.50966177125412	0.6291528448	2.69652870725325
B6D15	133	179.3125	176.853812761252	1.56093443212123	0.6825219456	3.14982401504852
B6D18	116	176.055555555556	194.385369387136	1.16480577077514	0.4819358008	1.93026270015224
B6D21	124	161.625	170.936832935703	1.48322557339426	0.6139590552	2.5903987995835
B6D24	148	197.285714285714	200.493465381041	1.92927955594893	0.7579073352	4.13064972797144
B6D27	180	235	245.92123415978	1.79396404279316	0.728495852	3.68318498028988
B6D37	163	257.55	264.906416704771	2.02638229141378	0.7584783752	4.14041600137496
B6D44	334	461.1875	455.239889572471	1.60177124056989	0.5735860664	2.34513912703907
B6D6	204	313.774193548387	325.04900647976	1.65961989957195	0.6476966592	2.83846300670675
B6D9	204	298.216216216216	329.433011822105	2.12963121695105	0.8196011496	5.54327257508954
B8D12	166	221	218.030217178535	1.91791708276299	0.7492525432	3.98807634088036
B8D15	210	345.05	311.54492599388	2.01711661786133	0.7500973288	4.00155786730142
B8D18	178	239.875	241.661262063419	1.64769918414305	0.6371456432	2.75592667211982
B8D21	191	254.142857142857	240.922903587654	1.81663612151732	0.7169654072	3.53313702790608
B8D24	218	273.681818181818	264.014399524483	3.03681743901297	0.904192796	10.4376284689406
B8D27	205	331.066666666667	276.872210360966	2.28135944645279	0.8426939752	6.35703560160145
B8D3	184	215.5	216.788841546715	1.83300249766803	0.6826513432	3.15110834274059
B8D30	114	210.25	222.594644971159	0.890734033628131	0.4741691208	1.90175214038666
B8D37	289	413.027777777778	395.493749844713	1.96191687806093	0.7334200528	3.75121988920553
B8D44	231	285.238095238095	302.174698049535	2.1226462751637	0.7743882808	4.43239386475984
B8D6	194	230.033333333333	247.507805048059	2.29115359416634	0.813126132	5.35120298360817
B8D9	161	231	234.746717271424	1.50633867866263	0.6527564784	2.87982334527735
C1D12	170	280.55	258.516225476095	1.52691041848842	0.5263547304	2.11128467691552
C1D15	254	327.7	318.663859681602	1.48293641873765	0.4906134024	1.96314548657454
C1D18	190	271.428571428571	284.174955900118	1.53243107743335	0.6879357408	3.20446821614104
C1D21	193	290.333333333333	293.29995030191	2.07300143081942	0.758468196	4.14024150624901
C1D24	236	307.322580645161	314.971823036438	2.62666199234046	0.8449544184	6.4497162039734
C1D27	332	465.170731707317	447.795829438163	2.32128146661985	0.7397246152	3.84208441673582
C1D30	186	264.964285714286	276.735967175888	1.17473993057786	0.4307184144	1.75659994156677
C1D37	209	303.666666666667	290.177294976385	2.08065145594207	0.7941948168	4.85896411572981
C1D44	378	574.892857142857	575.216398288399	2.35861172767445	0.8238209152	5.67604265361696
C1D6	305	403.783783783784	381.337176368479	2.10444202253976	0.7681818864	4.31372675961591
C1D9	198	328.533333333333	329.76052157012	1.369567702158	0.5813394	2.38856964328623
C3D1	315	382.028571428571	382.662047254026	2.6989396746998	0.8303182392	5.89338533078212
C3D18	237	424.037037037037	382.325714271337	1.21342164700976	0.4565358176	1.8400476653013
C3D21	222	286.09756097561	313.85787170025	1.64879825271887	0.6509462256	2.86488808699729
C3D24	258	365.5	363.830300245265	2.61963725091273	0.8498453008	6.65979823027743
C3D27	211	294.27027027027	326.096167007446	1.66685837065813	0.6506671792	2.86259961978356
C3D3	191	338.95652173913	307.101978603598	1.6676867656743	0.717591508	3.54097000737499
C3D30	259	373.772727272727	387.628530057043	2.38349178248205	0.8510581904	6.71403149112806
C3D37	258	326.695652173913	339.870458415378	2.27677450990813	0.8230044496	5.64985954584766
C3D44	292	424.471698113208	468.483281919395	1.94501269065411	0.7054517336	3.39502931802012
C3D6	256	368.222222222222	419.131873487388	1.60304444636015	0.5558149968	2.25131418844804
C3D9	236	313.454545454545	317.121331141626	1.82289595552997	0.7396411392	3.84085257143666
C4D15	151	219.055555555556	207.914395756365	1.69778195646468	0.6886362192	3.21167734227359
C4D18	130	224.714285714286	201.498045360836	1.06088042777193	0.3968605192	1.65799128034797
C4D21	125	192.571428571429	186.016843971631	1.57587718003496	0.6693034744	3.02392049080542
C4D24	116	176	158.563578927215	1.65677205199969	0.7325751088	3.73936769876865
C4D27	194	318.885714285714	330.364488857882	1.65152098771339	0.6974260096	3.30497673867476
C4D3	307	408.785714285714	388.416719631853	3.0738829219123	0.8870082504	8.85020369664229
C4D30	191	339.53125	390.747546119039	1.49635802543084	0.6382259264	2.76415606582594
C4D37	142	207.555555555556	235.249899177525	1.87771592055551	0.7755589832	4.45551358774632
C4D44	324	489.842105263158	521.746783552337	1.88475610727865	0.7303368056	3.70832957840241
C4D6	253	326	324.807632140593	1.20085388092008	0.4134457416	1.70487211656735
C4D9	180	223.135135135135	234.050530036033	1.73075365323301	0.776318848	4.47064936432373
C7D1	319	460.972972972973	483.843437303793	1.75993213536482	0.5433976392	2.19008942101817
C7D12	234	335.0625	385.139031297805	1.86318180369763	0.7012097736	3.34682968733143
C7D15	223	376.965517241379	401.277536014406	2.25767107837824	0.8229477232	5.64804936753008
C7D18	279	437.163265306122	459.305137926359	2.01166049140908	0.7952329288	4.88359771002087
C7D21	209	420.451612903226	482.107610989011	1.76175968739031	0.766962588	4.2911564774844
C7D24	283	436.358490566038	490.124232258065	1.6314366471242	0.6282966864	2.69031768997391
C7D27	144	174.875	177.960118487395	2.20035675701984	0.823518596	5.66631938172931
C7D3	621	704.31914893617	694.163706884464	3.77964466300789	0.9014977312	10.1520504266801
C7D30	154	217.142857142857	224.522866539154	2.07378225229921	0.789488344	4.75033078453385
C7D37	184	268.37037037037	271.371428571429	2.19104025332477	0.8121817232	5.32429546813945
C7D44	167	234.777777777778	243.741342224407	2.17271790259714	0.8454962424	6.47233449550744
C7D6	229	433.129032258065	446.555626595729	1.13949388278218	0.4284178944	1.74952992790123
C7D9	253	417.357142857143	454.638408655354	1.78648569920613	0.7317074544	3.72727463509519
C8D12	125	189.5	175.80501015853	1.72554553982699	0.7320877872	3.73256593847968
C8D15	135	208.928571428571	191.808058932148	2.44910469207322	0.8568896576	6.98761517322734
C8D18	126	176.214285714286	171.110102975978	1.99880917587184	0.7692731432	4.33412916844278
C8D21	162	205.0625	228.082303768994	2.08211687392968	0.8081272808	5.21178833640046
C8D24	161	248.142857142857	260.401398883248	2.14300605016427	0.8133255912	5.35692067503149
C8D27	179	267.44	273.802975611979	2.27230426486234	0.82696272	5.7791014745493
C8D3	153	204.47619047619	214.351798607837	2.000104259082	0.7871344464	4.69780095035536
C8D30	176	256	254.619150587713	2.21890847026338	0.8439341744	6.40755268589692
C8D37	157	214.24	231.515138429126	2.09978055716214	0.8106887736	5.2823069134161
C8D44	123	145.44	162.785980317529	2.35536217085756	0.8438912912	6.40579252552244
C8D6	125	177.928571428571	175.784020282554	2.49277064332669	0.8603614648	7.16134696319845
C8D9	256	295.6	285.642091380606	1.71872642531284	0.6393353176	2.7726585074691
C9D12	124	196.769230769231	178.04005742731	1.63114894606128	0.6769469664	3.09546698526963
C9D15	154	219.619047619048	227.610875820369	1.74831589196891	0.731448888	3.72368594027643
C9D24	190	272.5	276.565458823529	2.25620997443355	0.8337418448	6.01474254779894
C9D27	243	348.394736842105	361.99080150567	2.32041506735938	0.8195762824	5.54250856429532
C9D3	213	315.7	303.516073893936	2.21507611667452	0.8147569544	5.39831331730167
C9D37	170	252.5	251.761521163645	1.98120233908355	0.767667552	4.3041770902358
C9D44	177	240.37037037037	255.914795460847	2.27374691551442	0.824293988	5.69132489331099
C9D6	114	174.882352941176	198.642258068179	1.19163304348037	0.4918562384	1.96794701729937
C9D9	119	156	167.749427312775	1.67329829077417	0.6851177416	3.17579023054924
